id,título,año,género,director,duración,calificación,país
7940,The Matrix,1981,Animación,Wachowski Sisters,169,2.8,Australia
7941,Inception,1957,Comedia,Steven Spielberg,171,6.3,Canada
7942,Spirited Away,2006,Crimen,Francis Ford Coppola,99,5.2,France
7943,The Shawshank Redemption,1957,Ciencia Ficción,James Cameron,127,7.6,UK
7944,Forrest Gump,1962,Historia,James Cameron,139,9.1,Japan
7945,The Shawshank Redemption,2013,Crimen,Martin Scorsese,135,7.0,Canada
7946,Jurassic Park,2023,Animación,David Fincher,176,8.3,Canada
7947,Parasite,1952,Comedia,Damien Chazelle,107,4.9,Italy
7948,The Lion King,1998,Ciencia Ficción,Quentin Tarantino,94,9.5,Canada
7949,Gladiator,2009,Crimen,George Lucas,141,7.8,South Korea
7950,Inception,2010,Romance,Wachowski Sisters,85,9.2,South Korea
7951,The Lion King,1969,Comedia,George Lucas,146,3.0,UK
7952,Schindler's List,2004,Ciencia Ficción,David Fincher,120,6.5,South Korea
7953,Parasite,1962,Musical,Bong Joon-ho,132,6.0,Germany
7954,Spirited Away,1953,Romance,Francis Ford Coppola,94,3.3,Canada
7955,Titanic,1992,Romance,Hayao Miyazaki,84,8.9,Canada
7956,Gladiator,2013,Historia,Bong Joon-ho,84,5.4,France
7957,Inception,2004,Thriller,George Lucas,148,6.2,France
7958,The Lord of the Rings,1992,Thriller,Hayao Miyazaki,110,7.0,Spain
7959,Star Wars,2011,Crimen,Quentin Tarantino,179,5.2,France
7960,Spirited Away,1953,Acción,Hayao Miyazaki,154,7.6,Japan
7961,Spirited Away,2002,Ciencia Ficción,Christopher Nolan,105,5.9,Canada
7962,Fight Club,1985,Crimen,Peter Jackson,134,2.4,Italy
7963,Avengers: Endgame,2019,Historia,Martin Scorsese,171,8.4,UK
7964,The Dark Knight,2013,Acción,Peter Jackson,145,3.6,Germany
7965,The Matrix,2002,Musical,Damien Chazelle,144,8.7,Japan
7966,La La Land,1982,Romance,Francis Ford Coppola,158,8.7,France
7967,Pulp Fiction,2020,Comedia,Damien Chazelle,104,1.3,Canada
7968,La La Land,1966,Thriller,Ridley Scott,110,4.0,UK
7969,Spirited Away,2020,Historia,Bong Joon-ho,139,2.7,Japan
7970,Avengers: Endgame,1977,Crimen,Wachowski Sisters,149,8.7,Italy
7971,Fight Club,1964,Drama,Bong Joon-ho,159,4.4,USA
7972,Schindler's List,1957,Acción,Steven Spielberg,125,9.7,Germany
7973,Titanic,1961,Musical,James Cameron,129,3.9,Japan
7974,La La Land,1978,Drama,Steven Spielberg,126,1.5,Spain
7975,Titanic,1960,Drama,George Lucas,149,8.6,Germany
7976,Jurassic Park,1975,Drama,Peter Jackson,148,3.2,USA
7977,Parasite,1985,Animación,Wachowski Sisters,92,1.4,Italy
7978,Avengers: Endgame,1999,Acción,Hayao Miyazaki,150,7.4,USA
7979,The Godfather,1991,Historia,Bong Joon-ho,142,3.5,Japan
7980,The Dark Knight,1984,Historia,Francis Ford Coppola,154,9.3,France
7981,Star Wars,1957,Crimen,Christopher Nolan,140,6.9,USA
7982,Star Wars,1961,Drama,Peter Jackson,165,7.7,South Korea
7983,Pulp Fiction,1987,Thriller,Hayao Miyazaki,125,8.3,France
7984,Schindler's List,2016,Historia,Wachowski Sisters,98,5.4,France
7985,The Godfather,1967,Drama,Bong Joon-ho,163,2.7,UK
7986,The Godfather,2002,Musical,Quentin Tarantino,161,4.0,France
7987,Spirited Away,1989,Crimen,Wachowski Sisters,173,9.0,USA
7988,Inception,1950,Comedia,James Cameron,179,5.3,South Korea
7989,La La Land,2020,Thriller,Steven Spielberg,120,5.9,Italy
7990,The Matrix,1964,Ciencia Ficción,Wachowski Sisters,129,7.3,France
7991,The Dark Knight,1976,Thriller,David Fincher,143,6.9,South Korea
7992,The Matrix,1977,Ciencia Ficción,George Lucas,85,7.1,UK
7993,La La Land,1980,Drama,Damien Chazelle,157,9.3,Australia
7994,Parasite,1988,Drama,Martin Scorsese,130,2.6,Australia
7995,Pulp Fiction,2010,Romance,Peter Jackson,92,6.6,Australia
7996,The Lion King,2008,Romance,James Cameron,101,5.8,Spain
7997,La La Land,1958,Comedia,Wachowski Sisters,147,8.4,Italy
7998,Fight Club,1978,Thriller,Christopher Nolan,88,7.4,Germany
7999,Pulp Fiction,1994,Drama,James Cameron,111,4.6,Japan
8000,La La Land,2003,Acción,James Cameron,125,8.2,USA
8001,La La Land,1991,Romance,Christopher Nolan,102,8.2,Spain
8002,Star Wars,2023,Acción,Quentin Tarantino,151,4.7,Italy
8003,Titanic,1962,Acción,David Fincher,136,5.9,Japan
8004,Jurassic Park,1994,Romance,Damien Chazelle,120,2.8,France
8005,The Matrix,1994,Historia,Wachowski Sisters,146,5.9,Germany
8006,La La Land,2000,Animación,David Fincher,115,7.7,UK
8007,Spirited Away,2005,Ciencia Ficción,Hayao Miyazaki,170,2.6,Spain
8008,The Matrix,1997,Animación,Steven Spielberg,158,2.7,Japan
8009,Gladiator,1981,Comedia,Martin Scorsese,140,4.4,UK
8010,Interstellar,1998,Musical,Steven Spielberg,173,7.4,USA
8011,Pulp Fiction,1992,Drama,Wachowski Sisters,115,1.3,USA
8012,The Shawshank Redemption,1981,Thriller,Martin Scorsese,85,7.3,Germany
8013,Parasite,1991,Musical,David Fincher,150,4.5,Spain
8014,Jurassic Park,2003,Thriller,Steven Spielberg,134,2.8,South Korea
8015,Spirited Away,1963,Historia,Hayao Miyazaki,143,8.7,Japan
8016,Interstellar,2008,Animación,Martin Scorsese,175,7.3,Germany
8017,Jurassic Park,1959,Thriller,Bong Joon-ho,94,3.2,Italy
8018,Avengers: Endgame,1990,Drama,Martin Scorsese,99,2.8,UK
8019,Parasite,1981,Ciencia Ficción,Wachowski Sisters,172,3.1,UK
8020,The Matrix,2001,Animación,George Lucas,164,8.1,Canada
8021,The Lord of the Rings,1980,Ciencia Ficción,Steven Spielberg,147,7.8,Spain
8022,Inception,1993,Crimen,Hayao Miyazaki,89,7.0,France
8023,The Lord of the Rings,2004,Comedia,Hayao Miyazaki,167,9.8,France
8024,The Dark Knight,1955,Musical,Francis Ford Coppola,168,1.8,Japan
8025,Interstellar,1987,Animación,Steven Spielberg,93,3.3,Spain
8026,Fight Club,1964,Drama,Francis Ford Coppola,89,4.8,Germany
8027,The Lion King,2007,Animación,David Fincher,152,8.7,Australia
8028,Star Wars,2009,Acción,Christopher Nolan,141,9.0,Germany
8029,Jurassic Park,2005,Drama,James Cameron,154,5.4,Spain
8030,The Shawshank Redemption,1964,Historia,Bong Joon-ho,115,9.8,Germany
8031,Titanic,1963,Drama,Francis Ford Coppola,149,3.7,Germany
8032,Avengers: Endgame,1968,Ciencia Ficción,Francis Ford Coppola,120,3.0,UK
8033,Schindler's List,2009,Drama,David Fincher,135,5.4,South Korea
8034,Jurassic Park,1965,Acción,Martin Scorsese,173,8.8,UK
8035,Gladiator,2012,Crimen,Christopher Nolan,122,5.2,Spain
8036,Spirited Away,1988,Thriller,Wachowski Sisters,171,3.2,UK
8037,The Dark Knight,1966,Thriller,Steven Spielberg,137,7.5,France
8038,The Lord of the Rings,1989,Ciencia Ficción,Bong Joon-ho,94,5.4,South Korea
8039,Avengers: Endgame,1989,Romance,Damien Chazelle,162,6.1,Italy
8040,The Lion King,1955,Crimen,Peter Jackson,113,8.6,South Korea
8041,Gladiator,1954,Animación,Christopher Nolan,116,2.0,Canada
8042,Avengers: Endgame,1957,Drama,Ridley Scott,138,5.9,Canada
8043,The Dark Knight,2004,Historia,Martin Scorsese,97,6.7,Germany
8044,Forrest Gump,2002,Crimen,James Cameron,152,5.9,Australia
8045,Interstellar,1956,Musical,Peter Jackson,176,6.5,UK
8046,The Godfather,2006,Romance,Bong Joon-ho,149,5.0,USA
8047,The Lord of the Rings,2019,Thriller,Hayao Miyazaki,92,2.0,Japan
8048,The Dark Knight,2007,Animación,Damien Chazelle,106,8.5,Canada
8049,Jurassic Park,1993,Acción,Wachowski Sisters,83,6.0,South Korea
8050,The Lion King,2016,Romance,Francis Ford Coppola,91,7.0,France
8051,The Godfather,1961,Romance,Peter Jackson,114,4.0,Spain
8052,Fight Club,1988,Animación,Quentin Tarantino,118,5.8,South Korea
8053,Jurassic Park,2007,Historia,David Fincher,142,5.2,Canada
8054,Interstellar,1995,Animación,Hayao Miyazaki,168,1.5,Canada
8055,Spirited Away,1981,Ciencia Ficción,James Cameron,160,8.9,France
8056,Spirited Away,1952,Acción,James Cameron,132,6.8,USA
8057,Gladiator,2008,Ciencia Ficción,George Lucas,160,1.5,Australia
8058,La La Land,1970,Thriller,Wachowski Sisters,94,2.7,France
8059,Star Wars,1964,Musical,Damien Chazelle,150,3.7,Germany
8060,Fight Club,1953,Historia,Steven Spielberg,156,3.7,USA
8061,Parasite,2008,Thriller,David Fincher,98,1.4,Germany
8062,Inception,1957,Acción,Peter Jackson,146,4.4,France
8063,The Godfather,1970,Historia,Francis Ford Coppola,106,2.8,Germany
8064,Inception,1972,Drama,George Lucas,126,9.7,Australia
8065,Gladiator,1965,Drama,James Cameron,106,8.4,Japan
8066,The Lion King,1958,Crimen,George Lucas,102,6.0,USA
8067,Jurassic Park,1980,Thriller,George Lucas,179,5.2,Australia
8068,Pulp Fiction,1956,Historia,Hayao Miyazaki,129,3.4,Australia
8069,Pulp Fiction,2008,Romance,Christopher Nolan,128,6.6,UK
8070,The Godfather,1972,Musical,Damien Chazelle,115,4.6,South Korea
8071,Schindler's List,2013,Comedia,Quentin Tarantino,166,1.8,Germany
8072,Fight Club,1979,Ciencia Ficción,Peter Jackson,158,4.0,USA
8073,Interstellar,1975,Acción,Bong Joon-ho,140,6.3,Italy
8074,Spirited Away,2000,Animación,David Fincher,130,3.3,France
8075,Inception,1965,Acción,Francis Ford Coppola,125,3.3,USA
8076,The Matrix,2001,Acción,James Cameron,132,3.6,Spain
8077,Titanic,1968,Musical,George Lucas,169,6.6,South Korea
8078,Interstellar,1977,Comedia,Damien Chazelle,116,2.2,Japan
8079,Interstellar,1972,Comedia,Christopher Nolan,135,9.2,USA
8080,Pulp Fiction,1996,Historia,Christopher Nolan,86,8.6,France
8081,Pulp Fiction,1997,Ciencia Ficción,Martin Scorsese,150,9.9,South Korea
8082,Titanic,2021,Romance,Wachowski Sisters,127,2.5,France
8083,Titanic,1970,Comedia,Steven Spielberg,84,1.2,South Korea
8084,La La Land,1972,Musical,Peter Jackson,98,5.5,Germany
8085,Parasite,1962,Historia,Wachowski Sisters,124,4.6,USA
8086,The Lord of the Rings,2000,Drama,Wachowski Sisters,165,3.3,Germany
8087,Parasite,2003,Comedia,Bong Joon-ho,160,7.9,Japan
8088,Titanic,1952,Crimen,Ridley Scott,134,9.3,Canada
8089,The Lord of the Rings,2005,Thriller,Christopher Nolan,84,3.1,Italy
8090,Gladiator,1979,Romance,Martin Scorsese,80,8.0,Australia
8091,Inception,1967,Crimen,Francis Ford Coppola,165,6.8,USA
8092,Interstellar,1974,Thriller,Hayao Miyazaki,127,9.4,UK
8093,Schindler's List,1976,Romance,Bong Joon-ho,148,5.6,South Korea
8094,La La Land,1960,Animación,Quentin Tarantino,161,1.4,Italy
8095,The Dark Knight,2000,Crimen,James Cameron,147,3.6,Australia
8096,Avengers: Endgame,1960,Animación,George Lucas,149,8.6,Japan
8097,The Godfather,1970,Comedia,Quentin Tarantino,134,4.7,South Korea
8098,Titanic,1969,Animación,Ridley Scott,143,5.7,Japan
8099,La La Land,2016,Crimen,Steven Spielberg,81,7.8,Italy
8100,Jurassic Park,1982,Crimen,Steven Spielberg,88,5.0,USA
8101,Avengers: Endgame,2017,Animación,Bong Joon-ho,98,8.1,Australia
8102,Parasite,2021,Thriller,Steven Spielberg,137,9.4,UK
8103,Avengers: Endgame,2012,Animación,David Fincher,168,1.7,Japan
8104,Inception,1966,Historia,James Cameron,86,7.8,Canada
8105,Gladiator,1963,Musical,George Lucas,175,8.7,France
8106,Forrest Gump,1960,Animación,Ridley Scott,146,9.6,UK
8107,Avengers: Endgame,1981,Comedia,George Lucas,141,4.7,Italy
8108,The Dark Knight,2023,Animación,Quentin Tarantino,108,7.6,UK
8109,Fight Club,2003,Ciencia Ficción,David Fincher,147,3.9,Germany
8110,The Godfather,2015,Drama,James Cameron,153,1.9,South Korea
8111,Fight Club,2021,Drama,Quentin Tarantino,87,6.2,Germany
8112,Schindler's List,1989,Romance,Hayao Miyazaki,115,8.5,Japan
8113,The Dark Knight,1972,Drama,Quentin Tarantino,81,7.8,South Korea
8114,The Dark Knight,1953,Thriller,Christopher Nolan,179,2.9,UK
8115,Parasite,1973,Comedia,Ridley Scott,148,5.4,Canada
8116,Pulp Fiction,1990,Thriller,Steven Spielberg,116,7.7,USA
8117,The Lion King,2023,Musical,George Lucas,83,4.9,South Korea
8118,La La Land,1962,Romance,James Cameron,92,2.8,USA
8119,Star Wars,2016,Musical,Quentin Tarantino,117,2.4,France
8120,Titanic,1959,Historia,Steven Spielberg,147,9.8,USA
8121,Forrest Gump,1975,Crimen,Peter Jackson,94,6.0,Australia
8122,Titanic,2019,Comedia,Quentin Tarantino,113,10.0,UK
8123,The Shawshank Redemption,1991,Ciencia Ficción,Quentin Tarantino,105,1.9,South Korea
8124,Gladiator,1973,Crimen,Quentin Tarantino,152,6.9,Germany
8125,Parasite,1979,Acción,Hayao Miyazaki,93,9.3,Italy
8126,The Lord of the Rings,1959,Musical,David Fincher,91,7.4,France
8127,The Dark Knight,1952,Crimen,Martin Scorsese,151,2.6,Canada
8128,Jurassic Park,1998,Acción,Quentin Tarantino,112,1.5,UK
8129,The Lion King,1988,Animación,David Fincher,81,5.0,France
8130,Fight Club,2015,Thriller,Steven Spielberg,97,8.1,Canada
8131,Star Wars,2007,Historia,Christopher Nolan,157,2.6,South Korea
8132,Star Wars,1984,Ciencia Ficción,Steven Spielberg,98,7.3,USA
8133,The Dark Knight,2006,Crimen,David Fincher,123,1.2,USA
8134,The Matrix,1951,Drama,Hayao Miyazaki,174,6.4,Germany
8135,The Lord of the Rings,1978,Ciencia Ficción,Wachowski Sisters,162,2.7,Japan
8136,Fight Club,2005,Thriller,James Cameron,149,7.0,Australia
8137,Spirited Away,2003,Animación,Hayao Miyazaki,115,4.8,Australia
8138,Avengers: Endgame,1962,Thriller,Quentin Tarantino,149,3.9,USA
8139,La La Land,2018,Ciencia Ficción,David Fincher,115,9.7,USA
8140,Forrest Gump,2004,Acción,Peter Jackson,99,3.5,UK
8141,Pulp Fiction,1979,Romance,David Fincher,168,7.5,Italy
8142,Gladiator,2002,Acción,George Lucas,125,5.6,USA
8143,The Matrix,2002,Comedia,Wachowski Sisters,170,3.4,France
8144,Pulp Fiction,1983,Musical,Peter Jackson,113,6.0,Spain
8145,Avengers: Endgame,1984,Ciencia Ficción,Peter Jackson,84,4.9,Italy
8146,Pulp Fiction,1998,Comedia,George Lucas,149,5.9,Australia
8147,Interstellar,2001,Acción,Martin Scorsese,161,4.6,South Korea
8148,The Godfather,2005,Musical,Ridley Scott,87,7.6,South Korea
8149,Star Wars,2008,Thriller,George Lucas,140,6.7,Germany
8150,Star Wars,2001,Musical,George Lucas,155,4.3,South Korea
8151,Forrest Gump,1975,Animación,Francis Ford Coppola,99,9.3,South Korea
8152,The Lord of the Rings,1976,Ciencia Ficción,Damien Chazelle,128,2.1,Spain
8153,Schindler's List,1975,Thriller,James Cameron,168,7.8,USA
8154,Avengers: Endgame,2020,Historia,Quentin Tarantino,98,4.2,South Korea
8155,Parasite,2016,Romance,Martin Scorsese,86,3.8,Italy
8156,La La Land,2001,Acción,Quentin Tarantino,152,4.2,USA
8157,Parasite,1968,Acción,Martin Scorsese,108,1.9,Spain
8158,Inception,1954,Historia,David Fincher,103,5.0,France
8159,Pulp Fiction,1951,Ciencia Ficción,David Fincher,131,3.4,Germany
8160,Spirited Away,1964,Ciencia Ficción,Quentin Tarantino,84,1.5,Canada
8161,Star Wars,1962,Crimen,Bong Joon-ho,142,2.4,Australia
8162,Schindler's List,2004,Drama,Damien Chazelle,145,9.8,Australia
8163,Pulp Fiction,2015,Musical,Steven Spielberg,111,2.5,South Korea
8164,Fight Club,1955,Thriller,Steven Spielberg,142,5.9,France
8165,Avengers: Endgame,2019,Drama,Francis Ford Coppola,176,4.4,UK
8166,The Dark Knight,1963,Thriller,David Fincher,124,2.7,Australia
8167,The Dark Knight,1990,Acción,Steven Spielberg,127,4.5,France
8168,The Matrix,2008,Historia,Peter Jackson,165,8.3,Spain
8169,Spirited Away,1978,Thriller,Wachowski Sisters,95,9.4,Italy
8170,Spirited Away,1966,Musical,Bong Joon-ho,171,8.0,Spain
8171,Gladiator,2016,Ciencia Ficción,Martin Scorsese,147,7.0,Spain
8172,Pulp Fiction,2023,Animación,Christopher Nolan,145,3.5,France
8173,The Shawshank Redemption,2000,Comedia,Bong Joon-ho,155,2.4,Germany
8174,Titanic,1991,Comedia,James Cameron,90,10.0,USA
8175,Pulp Fiction,1955,Animación,Wachowski Sisters,156,5.7,South Korea
8176,Fight Club,1997,Crimen,Christopher Nolan,110,8.7,Japan
8177,The Lord of the Rings,2005,Comedia,Bong Joon-ho,148,1.9,Germany
8178,Spirited Away,2010,Drama,David Fincher,163,5.1,Spain
8179,Fight Club,1993,Animación,Ridley Scott,107,2.2,UK
8180,Avengers: Endgame,1990,Crimen,Ridley Scott,82,9.3,France
8181,The Matrix,2021,Musical,James Cameron,107,4.2,UK
8182,Interstellar,1996,Crimen,Steven Spielberg,101,3.6,Canada
8183,Star Wars,1957,Crimen,Christopher Nolan,169,2.4,Japan
8184,Pulp Fiction,1969,Acción,Francis Ford Coppola,148,4.2,Australia
8185,Pulp Fiction,2013,Ciencia Ficción,Wachowski Sisters,96,3.2,UK
8186,The Shawshank Redemption,1960,Animación,James Cameron,127,6.6,Canada
8187,Parasite,2010,Comedia,David Fincher,143,8.6,Australia
8188,Avengers: Endgame,1976,Historia,Bong Joon-ho,152,7.2,South Korea
8189,The Godfather,2001,Animación,Martin Scorsese,119,8.8,Spain
8190,Fight Club,1996,Ciencia Ficción,Wachowski Sisters,154,4.8,Spain
8191,Interstellar,1958,Ciencia Ficción,George Lucas,156,8.0,USA
8192,Gladiator,1960,Ciencia Ficción,Bong Joon-ho,123,6.9,USA
8193,The Lord of the Rings,1977,Comedia,Quentin Tarantino,133,3.3,Japan
8194,La La Land,1950,Romance,Quentin Tarantino,81,8.3,USA
8195,Pulp Fiction,1993,Thriller,Peter Jackson,95,4.5,Japan
8196,The Lord of the Rings,2000,Musical,Hayao Miyazaki,85,6.2,Canada
8197,The Lion King,1965,Thriller,Damien Chazelle,143,7.3,Germany
8198,The Lord of the Rings,2010,Ciencia Ficción,Damien Chazelle,123,7.9,Canada
8199,Spirited Away,1966,Musical,Quentin Tarantino,133,9.0,Australia
8200,The Matrix,2016,Thriller,Damien Chazelle,151,5.8,USA
8201,The Godfather,2016,Historia,Wachowski Sisters,109,7.4,Germany
8202,Inception,1962,Comedia,Bong Joon-ho,115,6.8,Japan
8203,Spirited Away,1979,Romance,Francis Ford Coppola,109,4.8,France
8204,Forrest Gump,2020,Animación,Wachowski Sisters,171,9.0,UK
8205,Inception,1983,Acción,Hayao Miyazaki,160,6.5,Germany
8206,Schindler's List,1986,Acción,George Lucas,113,7.4,Germany
8207,Inception,2021,Acción,Damien Chazelle,119,8.6,France
8208,The Dark Knight,1975,Acción,Bong Joon-ho,103,9.2,UK
8209,Fight Club,1957,Crimen,Francis Ford Coppola,104,4.5,Australia
8210,Gladiator,2007,Romance,Bong Joon-ho,123,9.7,South Korea
8211,The Dark Knight,2004,Romance,Steven Spielberg,108,5.8,France
8212,The Lion King,1988,Thriller,Christopher Nolan,155,2.1,Australia
8213,Pulp Fiction,1998,Musical,Steven Spielberg,89,2.1,Italy
8214,Schindler's List,2004,Ciencia Ficción,Wachowski Sisters,119,9.6,South Korea
8215,Gladiator,1991,Crimen,David Fincher,144,9.2,Australia
8216,The Matrix,2021,Thriller,George Lucas,135,6.7,Germany
8217,Parasite,1976,Animación,Peter Jackson,121,9.0,Canada
8218,La La Land,1990,Drama,Christopher Nolan,102,9.0,South Korea
8219,Parasite,2011,Drama,Damien Chazelle,176,2.6,USA
8220,Avengers: Endgame,1980,Historia,Steven Spielberg,82,2.5,Germany
8221,Titanic,1978,Animación,Quentin Tarantino,96,6.1,Japan
8222,The Lord of the Rings,2010,Comedia,Peter Jackson,117,9.5,Japan
8223,Forrest Gump,1967,Historia,James Cameron,118,4.0,Italy
8224,Gladiator,1981,Thriller,Bong Joon-ho,122,6.3,Germany
8225,Parasite,2014,Drama,Quentin Tarantino,108,2.5,Australia
8226,The Lion King,1980,Romance,Peter Jackson,125,6.7,Canada
8227,Parasite,2013,Musical,George Lucas,151,7.8,France
8228,The Matrix,2003,Comedia,Ridley Scott,85,7.4,South Korea
8229,Interstellar,1993,Ciencia Ficción,Christopher Nolan,93,1.6,Australia
8230,The Matrix,1973,Musical,Francis Ford Coppola,101,5.5,Germany
8231,Gladiator,2016,Ciencia Ficción,Martin Scorsese,91,2.4,France
8232,Fight Club,2004,Musical,David Fincher,137,2.4,USA
8233,Star Wars,1999,Comedia,Quentin Tarantino,81,3.5,Germany
8234,Gladiator,1987,Acción,Martin Scorsese,148,3.6,France
8235,Jurassic Park,1952,Comedia,James Cameron,136,7.2,Canada
8236,Schindler's List,1994,Thriller,David Fincher,93,2.5,UK
8237,The Godfather,2003,Thriller,Martin Scorsese,172,9.8,Japan
8238,Avengers: Endgame,1956,Ciencia Ficción,Damien Chazelle,136,4.2,Spain
8239,The Lion King,1957,Crimen,Quentin Tarantino,101,7.2,USA
8240,Pulp Fiction,1962,Thriller,George Lucas,179,3.4,Japan
8241,Fight Club,1979,Comedia,Steven Spielberg,157,4.9,South Korea
8242,La La Land,2017,Crimen,Christopher Nolan,137,9.3,Germany
8243,Spirited Away,1972,Animación,Bong Joon-ho,130,8.4,Canada
8244,Interstellar,1961,Drama,Francis Ford Coppola,116,3.5,Australia
8245,The Dark Knight,1974,Acción,Hayao Miyazaki,88,2.7,France
8246,Star Wars,2010,Historia,Christopher Nolan,173,7.1,Spain
8247,Titanic,1969,Thriller,David Fincher,100,4.1,Italy
8248,The Lord of the Rings,1980,Drama,James Cameron,87,4.7,France
8249,Inception,1953,Thriller,Steven Spielberg,179,6.7,Germany
8250,The Matrix,1994,Acción,Steven Spielberg,175,6.1,Japan
8251,Jurassic Park,1983,Animación,Ridley Scott,161,6.8,USA
8252,La La Land,1960,Comedia,David Fincher,175,5.5,Spain
8253,La La Land,2011,Thriller,James Cameron,154,9.6,USA
8254,Pulp Fiction,2008,Acción,Hayao Miyazaki,91,1.6,France
8255,Titanic,1968,Crimen,Bong Joon-ho,142,7.3,UK
8256,Jurassic Park,1964,Animación,David Fincher,165,4.3,USA
8257,La La Land,2003,Musical,David Fincher,138,2.4,Spain
8258,Titanic,2012,Thriller,Hayao Miyazaki,151,8.7,Canada
8259,La La Land,2008,Ciencia Ficción,Bong Joon-ho,97,2.7,UK
8260,Parasite,1994,Crimen,Bong Joon-ho,90,7.8,UK
8261,Gladiator,1998,Acción,Bong Joon-ho,138,8.0,Germany
8262,Schindler's List,1953,Crimen,Francis Ford Coppola,85,7.9,Germany
8263,Gladiator,1991,Ciencia Ficción,David Fincher,170,3.5,USA
8264,Inception,1987,Ciencia Ficción,Peter Jackson,100,3.9,Germany
8265,The Lord of the Rings,1987,Comedia,Bong Joon-ho,139,9.9,Italy
8266,The Godfather,2008,Drama,Damien Chazelle,139,3.5,Canada
8267,The Lord of the Rings,1998,Acción,Damien Chazelle,116,8.3,Spain
8268,Avengers: Endgame,2019,Ciencia Ficción,Francis Ford Coppola,178,2.1,Australia
8269,The Godfather,1956,Drama,David Fincher,166,2.4,Japan
8270,Star Wars,1990,Historia,Damien Chazelle,160,5.3,USA
8271,The Dark Knight,1970,Crimen,Quentin Tarantino,150,4.0,Italy
8272,Schindler's List,1967,Acción,Peter Jackson,147,7.6,France
8273,Fight Club,2003,Ciencia Ficción,Wachowski Sisters,95,9.0,Australia
8274,The Lord of the Rings,1971,Musical,Hayao Miyazaki,81,9.2,Germany
8275,Avengers: Endgame,2012,Crimen,Steven Spielberg,177,1.7,Italy
8276,Parasite,2006,Acción,Martin Scorsese,94,9.9,South Korea
8277,Interstellar,2007,Thriller,Bong Joon-ho,168,6.0,Germany
8278,The Lord of the Rings,1995,Comedia,Steven Spielberg,166,2.8,Germany
8279,Avengers: Endgame,1958,Drama,Peter Jackson,152,9.8,Spain
8280,Titanic,2010,Thriller,Martin Scorsese,122,5.6,Germany
8281,Pulp Fiction,1955,Musical,Quentin Tarantino,145,2.5,Spain
8282,The Godfather,1970,Romance,Quentin Tarantino,88,7.1,Germany
8283,Inception,1983,Drama,Quentin Tarantino,93,8.1,Canada
8284,Star Wars,2022,Drama,Francis Ford Coppola,140,7.9,Spain
8285,Pulp Fiction,1976,Ciencia Ficción,Ridley Scott,173,5.7,Germany
8286,The Lord of the Rings,1992,Ciencia Ficción,Hayao Miyazaki,87,6.0,Germany
8287,Pulp Fiction,2007,Comedia,Damien Chazelle,133,2.7,France
8288,Inception,2013,Acción,Steven Spielberg,142,6.0,Germany
8289,The Lord of the Rings,1960,Romance,Martin Scorsese,106,3.1,Germany
8290,Spirited Away,2007,Drama,Martin Scorsese,83,1.5,South Korea
8291,Schindler's List,2023,Historia,David Fincher,148,3.4,Japan
8292,Avengers: Endgame,1961,Comedia,David Fincher,156,1.1,South Korea
8293,Schindler's List,2013,Romance,Bong Joon-ho,86,6.7,South Korea
8294,Forrest Gump,1968,Thriller,Christopher Nolan,102,9.8,UK
8295,Parasite,1965,Ciencia Ficción,Bong Joon-ho,153,2.3,Spain
8296,Spirited Away,1973,Animación,Bong Joon-ho,135,4.8,France
8297,Titanic,1965,Animación,Christopher Nolan,156,7.0,Japan
8298,The Dark Knight,1975,Thriller,Martin Scorsese,136,8.0,USA
8299,The Matrix,1955,Acción,Peter Jackson,141,1.5,Germany
8300,Spirited Away,1997,Comedia,Steven Spielberg,135,7.2,Japan
8301,The Matrix,1955,Crimen,David Fincher,159,9.9,France
8302,The Shawshank Redemption,1987,Crimen,Peter Jackson,143,6.3,France
8303,Jurassic Park,2019,Animación,Hayao Miyazaki,174,7.3,Japan
8304,The Godfather,2016,Animación,Steven Spielberg,151,3.3,South Korea
8305,Inception,1960,Ciencia Ficción,Hayao Miyazaki,128,7.3,Canada
8306,Interstellar,1979,Ciencia Ficción,George Lucas,177,9.2,Italy
8307,Inception,1988,Comedia,Bong Joon-ho,92,3.2,UK
8308,Gladiator,1960,Drama,Ridley Scott,142,3.3,France
8309,Pulp Fiction,2007,Musical,Francis Ford Coppola,114,6.5,Germany
8310,The Godfather,1963,Ciencia Ficción,Steven Spielberg,168,3.4,Spain
8311,Pulp Fiction,1981,Animación,David Fincher,93,4.2,France
8312,Star Wars,1986,Thriller,Damien Chazelle,96,2.1,Canada
8313,Fight Club,1999,Animación,Ridley Scott,124,3.0,Italy
8314,Titanic,1963,Ciencia Ficción,Francis Ford Coppola,149,5.3,USA
8315,Jurassic Park,2000,Acción,Bong Joon-ho,155,4.0,Japan
8316,Avengers: Endgame,1974,Crimen,Christopher Nolan,176,3.9,Germany
8317,Forrest Gump,1959,Crimen,James Cameron,115,6.3,Australia
8318,Spirited Away,1971,Historia,Wachowski Sisters,159,7.9,Spain
8319,The Lord of the Rings,1999,Acción,Peter Jackson,173,5.8,Italy
8320,The Godfather,2010,Musical,Bong Joon-ho,161,8.0,Canada
8321,Gladiator,1955,Ciencia Ficción,Christopher Nolan,130,1.4,South Korea
8322,Parasite,1975,Animación,Christopher Nolan,103,6.7,Spain
8323,Inception,1974,Ciencia Ficción,Ridley Scott,168,6.9,USA
